date,epu,count
2009-02-27,1.0,90
2009-02-28,1.0,78
2009-03-01,0.0,64
2009-03-02,1.0,100
2009-03-03,0.0,70
2009-03-04,1.0,95
2009-03-05,1.0,96
2009-03-06,3.0,81
2009-03-07,2.0,76
2009-03-08,0.0,71
2009-03-09,0.0,88
2009-03-10,0.0,74
2009-03-11,0.0,90
2009-03-12,0.0,112
2009-03-13,0.0,120
2009-03-14,0.0,48
2009-03-15,1.0,43
2009-03-16,5.0,84
2009-03-17,2.0,106
2009-03-18,1.0,98
2009-03-19,1.0,118
2009-03-20,1.0,108
2009-03-21,0.0,67
2009-03-22,1.0,79
2009-03-23,2.0,114
2009-03-24,0.0,113
2009-03-25,0.0,117
2009-03-26,2.0,118
2009-03-27,2.0,102
2009-03-28,0.0,64
2009-03-29,0.0,64
2009-03-30,0.0,127
2009-03-31,1.0,102
2009-04-01,0.0,110
2009-04-02,0.0,113
2009-04-03,1.0,97
2009-04-04,0.0,60
2009-04-05,0.0,73
2009-04-06,0.0,59
2009-04-07,0.0,92
2009-04-08,2.0,91
2009-04-09,2.0,111
2009-04-10,1.0,127
2009-04-11,0.0,77
2009-04-12,1.0,73
2009-04-13,0.0,114
2009-04-14,1.0,101
2009-04-15,1.0,108
2009-04-16,1.0,113
2009-04-17,2.0,108
2009-04-18,0.0,68
2009-04-19,0.0,58
2009-04-20,0.0,98
2009-04-21,2.0,104
2009-04-22,1.0,119
2009-04-23,1.0,99
2009-04-24,0.0,102
2009-04-25,0.0,75
2009-04-26,1.0,63
2009-04-27,3.0,105
2009-04-28,0.0,99
2009-04-29,3.0,111
2009-04-30,0.0,100
2009-05-01,0.0,51
2009-05-02,0.0,57
2009-05-03,1.0,42
2009-05-04,2.0,113
2009-05-05,0.0,86
2009-05-06,2.0,91
2009-05-07,0.0,104
2009-05-08,1.0,116
2009-05-09,1.0,70
2009-05-10,1.0,48
2009-05-11,0.0,81
2009-05-12,0.0,73
2009-05-13,3.0,86
2009-05-14,0.0,109
2009-05-15,0.0,122
2009-05-16,0.0,76
2009-05-17,0.0,67
2009-05-18,2.0,108
2009-05-19,1.0,108
2009-05-20,1.0,119
2009-05-21,0.0,127
2009-05-22,1.0,139
2009-05-23,0.0,72
2009-05-24,0.0,70
2009-05-25,2.0,116
2009-05-26,1.0,111
2009-05-27,1.0,122
2009-05-28,0.0,87
2009-05-29,0.0,68
2009-05-30,1.0,65
2009-05-31,0.0,63
2009-06-01,5.0,119
2009-06-02,1.0,108
2009-06-03,0.0,109
2009-06-04,2.0,110
2009-06-05,0.0,101
2009-06-06,0.0,75
2009-06-07,0.0,80
2009-06-08,0.0,99
2009-06-09,1.0,99
2009-06-10,0.0,94
2009-06-11,1.0,119
2009-06-12,0.0,94
2009-06-13,0.0,66
2009-06-14,0.0,62
2009-06-15,5.0,111
2009-06-16,2.0,111
2009-06-17,1.0,97
2009-06-18,3.0,92
2009-06-19,2.0,150
2009-06-20,1.0,67
2009-06-21,1.0,63
2009-06-22,2.0,109
2009-06-23,0.0,112
2009-06-24,1.0,123
2009-06-25,1.0,111
2009-06-26,1.0,110
2009-06-27,1.0,62
2009-06-28,1.0,71
2009-06-29,6.0,101
2009-06-30,2.0,126
2009-07-01,0.0,120
2009-07-02,0.0,126
2009-07-03,2.0,137
2009-07-04,0.0,58
2009-07-05,0.0,55
2009-07-06,3.0,143
2009-07-07,0.0,126
2009-07-08,0.0,121
2009-07-09,1.0,130
2009-07-10,1.0,138
2009-07-11,0.0,67
2009-07-12,0.0,60
2009-07-13,1.0,135
2009-07-14,1.0,123
2009-07-15,1.0,125
2009-07-16,1.0,128
2009-07-17,3.0,127
2009-07-18,1.0,78
2009-07-19,0.0,56
2009-07-20,1.0,163
2009-07-21,1.0,124
2009-07-22,0.0,132
2009-07-23,1.0,125
2009-07-24,3.0,152
2009-07-25,0.0,60
2009-07-26,0.0,65
2009-07-27,3.0,147
2009-07-28,0.0,133
2009-07-29,0.0,117
2009-07-30,1.0,128
2009-07-31,1.0,136
2009-08-01,0.0,63
2009-08-02,1.0,65
2009-08-03,1.0,148
2009-08-04,0.0,131
2009-08-05,1.0,117
2009-08-06,2.0,126
2009-08-07,2.0,128
2009-08-08,1.0,68
2009-08-09,1.0,63
2009-08-10,2.0,138
2009-08-11,0.0,147
2009-08-12,1.0,126
2009-08-13,2.0,133
2009-08-14,1.0,129
2009-08-15,2.0,70
2009-08-16,0.0,72
2009-08-17,0.0,135
2009-08-18,2.0,133
2009-08-19,0.0,131
2009-08-20,3.0,119
2009-08-21,2.0,127
2009-08-22,0.0,71
2009-08-23,0.0,63
2009-08-24,1.0,121
2009-08-25,2.0,121
2009-08-26,2.0,118
2009-08-27,2.0,137
2009-08-28,0.0,123
2009-08-29,0.0,68
2009-08-30,1.0,66
2009-08-31,2.0,129
2009-09-01,0.0,121
2009-09-02,2.0,130
2009-09-03,1.0,130
2009-09-04,0.0,125
2009-09-05,0.0,73
2009-09-06,0.0,57
2009-09-07,1.0,100
